                           QSO        ion       Glon       Glat   peakvel_v_LSR           v_err
                      MRK-1044        CIV    179.695    -60.477         -44.843           5.924
                      MRK-1044         NV    179.695    -60.477         -57.951           9.645
                      MRK-1044       NiII    179.695    -60.477         -18.414           3.270
                      MRK-1044        SII    179.695    -60.477         -16.413           4.765
                      MRK-1044       SiII    179.695    -60.477         -23.413           7.209
                      MRK-1044       SiIV    179.695    -60.477         -35.084           8.573
                       MRK-335       CII*    108.763    -41.425          -8.409           3.355
                       MRK-335        CIV    108.763    -41.425          -6.114           8.294
                       MRK-335         NV    108.763    -41.425         -10.366          10.851
                       MRK-335       NiII    108.763    -41.425         -12.103           3.270
                       MRK-335        SII    108.763    -41.425          -8.528           4.765
                       MRK-335       SiII    108.763    -41.425         -21.598          10.814
                       MRK-335       SiIV    108.763    -41.425           2.452           7.501
                        MRK106       CII*    161.139     42.880          -3.204           3.355
                        MRK106        CIV    161.139     42.880           5.415           9.479
                        MRK106         NV    161.139     42.880         -10.665           9.645
                        MRK106       NiII    161.139     42.880          -5.977           4.360
                        MRK106        SII    161.139     42.880          -1.694           3.574
                        MRK106       SiII    161.139     42.880         -15.893           8.411
                        MRK106       SiIV    161.139     42.880         -10.841           8.573
                       MRK1148       CII*    123.093    -45.439         -15.485           4.473
                       MRK1148        CIV    123.093    -45.439         -29.978           7.109
                       MRK1148       FeII    123.093    -45.439         -79.162           9.124
                       MRK1148       NiII    123.093    -45.439         -39.807           3.270
                       MRK1148        SII    123.093    -45.439          -9.868           4.765
                       MRK1148       SiII    123.093    -45.439         -15.708           8.411
                       MRK1148       SiIV    123.093    -45.439         -21.631           8.573
                       MRK1179       CII*    148.895    -29.745          96.647           8.946
                       MRK1179        CIV    148.895    -29.745          10.886           9.479
                       MRK1179       FeII    148.895    -29.745         -19.455           4.562
                       MRK1179         NV    148.895    -29.745         -20.659           3.617
                       MRK1179        SII    148.895    -29.745           1.458           5.956
                       MRK1179       SiIV    148.895    -29.745          -0.072           4.286
                       MRK1513       CII*     63.670    -29.070           3.889           4.473
                       MRK1513        CIV     63.670    -29.070          24.156           8.294
                       MRK1513         NV     63.670    -29.070          -6.246           8.440
                       MRK1513       NiII     63.670    -29.070           0.110           4.360
                       MRK1513        SII     63.670    -29.070           8.753           5.956
                       MRK1513       SiII     63.670    -29.070          -5.446           8.411
                       MRK1513       SiIV     63.670    -29.070           7.109           7.501
                        MRK290       CII*     91.489     47.954         -12.636           4.473
                        MRK290        CIV     91.489     47.954         -53.996          11.849
                        MRK290         NV     91.489     47.954         -25.550           7.234
                        MRK290       NiII     91.489     47.954         -26.810           6.541
                        MRK290        SII     91.489     47.954         -16.233           3.574
                        MRK290       SiII     91.489     47.954         -24.672           7.209
                        MRK290       SiIV     91.489     47.954         -34.297           3.215
                        MRK304        CIV     75.989    -34.222          12.449          13.033
                        MRK304       SiII     75.989    -34.222         -19.689          10.814
                        MRK817       CII*    100.300     53.478         -25.546           6.709
                        MRK817        CIV    100.300     53.478         -69.942          14.218
                        MRK817         NV    100.300     53.478          77.613           8.440
                        MRK817       NiII    100.300     53.478         -23.087           7.631
                        MRK817        SII    100.300     53.478          -8.432           3.574
                        MRK817       SiII    100.300     53.478         -13.183           8.411
                        MRK817       SiIV    100.300     53.478          -7.091           2.143
                        MRK841       CII*     11.209     54.632         -10.120           8.946
                        MRK841        CIV     11.209     54.632         -45.289          10.664
                        MRK841         NV     11.209     54.632         -51.621          12.056
                        MRK841       NiII     11.209     54.632         -20.046           8.721
                        MRK841        SII     11.209     54.632         -17.000           4.765
                        MRK841       SiIV     11.209     54.632         -41.612           8.573
                        MRK876       CII*     98.269     40.376         -23.087           5.591
                        MRK876        CIV     98.269     40.376           2.490          11.849
                        MRK876       FeII     98.269     40.376           0.585           6.843
                        MRK876         NV     98.269     40.376          -7.853          13.262
                        MRK876       NiII     98.269     40.376         -17.386           5.451
                        MRK876        SII     98.269     40.376         -23.769           5.956
                        MRK876       SiII     98.269     40.376           0.173          10.814
                        MRK876       SiIV     98.269     40.376          -6.822           9.645
                      NGC-3516       CII*    133.236     42.403          -0.067           6.709
                      NGC-3516        CIV    133.236     42.403         -41.412           8.294
                      NGC-3516       FeII    133.236     42.403         -88.701           2.281
                      NGC-3516         NV    133.236     42.403         -22.259          13.262
                      NGC-3516       NiII    133.236     42.403         -57.261           7.631
                      NGC-3516        SII    133.236     42.403          -7.115           5.956
                      NGC-3516       SiII    133.236     42.403         -63.471          12.015
                      NGC-3516       SiIV    133.236     42.403         -40.784           6.430
                      NGC-4051       CII*    148.883     70.085         -25.954           6.709
                      NGC-4051       FeII    148.883     70.085          -2.171           7.983
                      NGC-4051       NiII    148.883     70.085         -20.394           8.721
                      NGC-4051        SII    148.883     70.085         -10.784           5.956
                      NGC-4051       SiII    148.883     70.085          -2.278           9.612
                      NGC-4051       SiIV    148.883     70.085         -21.710           9.645
                      NGC-5548       CII*     31.961     70.496          -4.366           4.473
                      NGC-5548        CIV     31.961     70.496         -36.765          10.664
                      NGC-5548       FeII     31.961     70.496         -14.485           7.983
                      NGC-5548         NV     31.961     70.496         -52.575           7.234
                      NGC-5548       NiII     31.961     70.496         -24.271           5.451
                      NGC-5548        SII     31.961     70.496          -9.616           3.574
                      NGC-5548       SiII     31.961     70.496          -5.956           9.612
                      NGC-5548       SiIV     31.961     70.496         -59.713           8.573
                      NGC-7469       CII*     83.099    -45.467          -2.318           4.473
                      NGC-7469        CIV     83.099    -45.467          40.462          11.849
                      NGC-7469         NV     83.099    -45.467         -13.659           7.234
                      NGC-7469       NiII     83.099    -45.467         -11.547           5.451
                      NGC-7469        SII     83.099    -45.467          -5.792           4.765
                      NGC-7469       SiII     83.099    -45.467           6.370           7.209
                      NGC-7469       SiIV     83.099    -45.467          -1.242           9.645
                       NGC-985       CII*    180.837    -59.490          -6.908           4.473
                       NGC-985        CIV    180.837    -59.490         -33.235           8.294
                       NGC-985         NV    180.837    -59.490         -20.816           8.440
                       NGC-985       NiII    180.837    -59.490          -7.753           3.270
                       NGC-985        SII    180.837    -59.490          -5.932           3.574
                       NGC-985       SiII    180.837    -59.490         -40.475           7.209
                       NGC-985       SiIV    180.837    -59.490         -43.897           6.430
                       NGC7714        CIV     88.216    -55.564          19.131          10.664
                       NGC7714       FeII     88.216    -55.564          72.000           6.843
                       NGC7714         NV     88.216    -55.564         -90.761          10.851
                       NGC7714       SiIV     88.216    -55.564          36.994          10.716
                        PDS456       CII*     10.392     11.164           5.789           8.946
                        PDS456        CIV     10.392     11.164          -3.565          14.218
                        PDS456       FeII     10.392     11.164         -42.928          12.545
                        PDS456         NV     10.392     11.164         -22.431          16.879
                        PDS456       NiII     10.392     11.164           9.641           5.451
                        PDS456       SiII     10.392     11.164          -1.143          13.217
                        PDS456       SiIV     10.392     11.164          -2.780          10.716
                   PG-1407+265       CII*     34.669     72.589         -15.940           6.709
                   PG-1407+265        CIV     34.669     72.589         -41.897           8.294
                   PG-1407+265       FeII     34.669     72.589         -75.322           2.281
                   PG-1407+265         NV     34.669     72.589         -40.911           7.234
                   PG-1407+265       NiII     34.669     72.589         -47.555           6.541
                   PG-1407+265        SII     34.669     72.589           4.287          10.721
                   PG-1407+265       SiII     34.669     72.589         -42.394           9.612
                   PG-1407+265       SiIV     34.669     72.589         -53.675           6.430
                   PG-1522+101       CII*     14.892     50.122         -23.696           5.591
                   PG-1522+101        CIV     14.892     50.122         -53.807          17.773
                   PG-1522+101       FeII     14.892     50.122           9.100           6.843
                   PG-1522+101         NV     14.892     50.122         -25.341          13.262
                   PG-1522+101       SiII     14.892     50.122          -0.436          10.814
                   PG-1522+101       SiIV     14.892     50.122         -21.362           6.430
                   PG-1630+377       CII*     60.342     42.939         -14.195           4.473
                   PG-1630+377        CIV     60.342     42.939         -15.536           9.479
                   PG-1630+377       FeII     60.342     42.939         -40.592          10.264
                   PG-1630+377       NiII     60.342     42.939         -10.815           4.360
