                           QSO        ion       Glon       Glat   peakvel_v_LSR           v_err
                   PG-1522+101       FeII     14.892     50.122          16.650           6.550
                   PG-1522+101         NV     14.892     50.122         -23.850          13.750
                   PG-1522+101       SiII     14.892     50.122          -0.250          11.050
                   PG-1522+101       SiIV     14.892     50.122         -21.900           6.900
                   PG-1630+377       CII*     60.342     42.939          -5.700           4.100
                   PG-1630+377        CIV     60.342     42.939         -27.650           9.250
                   PG-1630+377       FeII     60.342     42.939         -19.500           9.700
                   PG-1630+377       NiII     60.342     42.939         -10.600           4.600
                   PG-1630+377       SiII     60.342     42.939         -10.800          10.600
                   PG-1630+377       SiIV     60.342     42.939         -33.550           9.650
                    PG0003+158       CII*    107.318    -45.326          -7.250           4.350
                    PG0003+158        CIV    107.318    -45.326          -1.650          11.250
                    PG0003+158       NiII    107.318    -45.326           3.700           4.500
                    PG0003+158        SII    107.318    -45.326          -2.000           4.100
                    PG0003+158       SiII    107.318    -45.326         -28.100           9.800
                    PG0003+158       SiIV    107.318    -45.326         -11.250           7.550
                    PG0052+251       CII*    123.907    -37.438           3.250           4.850
                    PG0052+251        CIV    123.907    -37.438         -19.500           7.400
                    PG0052+251         NV    123.907    -37.438          -8.400           0.800
                    PG0052+251       NiII    123.907    -37.438         -24.650           6.250
                    PG0052+251        SII    123.907    -37.438          -2.900           5.800
                    PG0052+251       SiIV    123.907    -37.438         -32.550           7.050
                    PG0804+761       CII*    138.279     31.033         -13.100           6.500
                    PG0804+761        CIV    138.279     31.033         -46.200          11.800
                    PG0804+761       NiII    138.279     31.033         -30.400           8.400
                    PG0804+761        SII    138.279     31.033          -8.900           5.700
                    PG0804+761       SiII    138.279     31.033         -12.150           9.650
                    PG0804+761       SiIV    138.279     31.033         -22.750           7.750
                    PG0832+251       CII*    199.491     33.146         -10.000           4.700
                    PG0832+251        CIV    199.491     33.146           2.250          11.250
                    PG0832+251         NV    199.491     33.146         -37.350           2.250
                    PG0832+251       NiII    199.491     33.146         -16.050           4.550
                    PG0832+251        SII    199.491     33.146          -3.000           4.500
                    PG0832+251       SiII    199.491     33.146          -7.800           7.300
