                           QSO        ion       Glon       Glat    maxcol_v_LSR      total_logN
         ICRF-J122011.8+020342       CII*    284.992     63.840          25.578          16.287
         ICRF-J122011.8+020342        CIV    284.992     63.840         -31.383          14.455
         ICRF-J122011.8+020342       FeII    284.992     63.840         -10.397           9.783
         ICRF-J122011.8+020342         NV    284.992     63.840           4.592          13.887
         ICRF-J122011.8+020342       NiII    284.992     63.840          -7.399          13.980
         ICRF-J122011.8+020342        SII    284.992     63.840         -19.391          15.387
         ICRF-J122011.8+020342       SiII    284.992     63.840           1.594          15.010
         ICRF-J122011.8+020342       SiIV    284.992     63.840         -16.393          13.781
                        IO-AND       CII*    122.279    -23.181           3.816          14.472
                        IO-AND        CIV    122.279    -23.181           3.816          13.776
                        IO-AND         NV    122.279    -23.181         -23.165          13.149
                        IO-AND       NiII    122.279    -23.181         -14.171          13.970
                        IO-AND        SII    122.279    -23.181           0.818          15.713
                        IO-AND       SiIV    122.279    -23.181          -8.175          13.355
              IRAS-F04250-5718        CIV    266.987    -41.996         -49.924          14.170
              IRAS-F04250-5718         NV    266.987    -41.996          28.022          13.153
              IRAS-F04250-5718       NiII    266.987    -41.996           1.040          13.410
              IRAS-F04250-5718        SII    266.987    -41.996          13.032          15.138
              IRAS-F04250-5718       SiIV    266.987    -41.996         -43.929          13.703
              IRAS-F22456-5125       AlII    338.512    -56.630          -1.295          13.342
              IRAS-F22456-5125        CIV    338.512    -56.630          -4.293          13.997
              IRAS-F22456-5125         NI    338.512    -56.630         -10.289          19.290
              IRAS-F22456-5125         NV    338.512    -56.630           7.699          13.375
              IRAS-F22456-5125       NiII    338.512    -56.630          -1.295          13.349
              IRAS-F22456-5125        SII    338.512    -56.630         -10.289          14.957
              IRAS-F22456-5125       SiII    338.512    -56.630          -4.293          14.438
              IRAS-F22456-5125       SiIV    338.512    -56.630           1.703          13.370
              IRAS-L06229-6434       CII*    274.312    -27.320          16.541          15.595
              IRAS-L06229-6434        CIV    274.312    -27.320          43.522          14.109
              IRAS-L06229-6434         NV    274.312    -27.320         -13.438          12.994
              IRAS-L06229-6434       NiII    274.312    -27.320          -7.442          13.572
              IRAS-L06229-6434        SII    274.312    -27.320           1.551          15.750
              IRAS-L06229-6434       SiIV    274.312    -27.320          -4.445          13.368
               IRASF00040+4325       CII*    114.416    -18.421         -32.214          14.958
               IRASF00040+4325        CIV    114.416    -18.421         -44.205          13.600
               IRASF00040+4325       FeII    114.416    -18.421         -17.224          15.815
               IRASF00040+4325         NV    114.416    -18.421         -11.228          13.088
               IRASF00040+4325       NiII    114.416    -18.421          -2.234          13.934
               IRASF00040+4325        SII    114.416    -18.421           3.761          16.115
               IRASF00040+4325       SiIV    114.416    -18.421         -26.218          13.377
                          IZW1       CII*    123.749    -50.175          -7.437          14.017
                          IZW1        CIV    123.749    -50.175          -7.437          13.974
                          IZW1       NiII    123.749    -50.175         -28.422          13.654
